Month,Average Wind Speed(stdev),Average Ambient Temperature(stdev),Solar Radiation
March,5.6(9.03),22.2(4.67),195
April,5.8(9.92),19.1(4.17),136
May,4.66(10.7),14.8(4.66),118
June,5(10.4),14.8(4.32),92.9
July,4.51(9.43),13.5(3.9),91.2
August,4.91(9.95),14(4.06),112
September,5.24(10.2),15.4(5.29),176
October,5(9.1),19(4.77),200
November,5.61(9.47),20.8(4.98),247
December,6.01(8.6),21.9(5.62),273
